year,hires,terminations,net_changes,net_changes_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,193,895,82.26
2004,1087,197,890,81.88
2005,1038,168,870,83.82
2006,1069,174,895,83.72
2007,1058,142,916,86.58
2008,1061,139,922,86.90
2009,1094,147,947,86.56
2010,1050,120,930,88.57
2011,1057,108,949,89.78
2012,1059,103,956,90.27
2013,1042,90,952,91.36
2014,1014,83,931,91.81
2015,1011,72,939,92.88
2016,1076,64,1012,94.05
2017,1043,53,990,94.92
2018,1090,47,1043,95.69
2019,1038,46,992,95.57
2020,967,26,941,97.31
